IATA,Centro,Nave,Tipo de Almacenamiento,Posicion,Tipo de Posicion,Division Horizontal,Piso,Pasillo,Columna,Altura,Largo,Alto,Ancho,Peso
RDI,A048,CD SARANDI NAVE 1,General,RAC037.10A,Rack,1,1,RAC,037,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC035.10A,Rack,1,1,RAC,035,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC033.10A,Rack,1,1,RAC,033,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC031.10A,Rack,1,1,RAC,031,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC029.10A,Rack,1,1,RAC,029,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC027.10A,Rack,1,1,RAC,027,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC025.10A,Rack,1,1,RAC,025,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC023.10A,Rack,1,1,RAC,023,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC021.10A,Rack,1,1,RAC,021,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC019.10A,Rack,1,1,RAC,019,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC017.10A,Rack,1,1,RAC,017,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC015.10A,Rack,1,1,RAC,015,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC013.10A,Rack,1,1,RAC,013,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC011.10A,Rack,1,1,RAC,011,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC009.10A,Rack,1,1,RAC,009,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC007.10A,Rack,1,1,RAC,007,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC003.10A,Rack,1,1,RAC,003,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC001.10A,Rack,1,1,RAC,001,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC044.10A,Rack,1,1,RAC,044,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC042.10A,Rack,1,1,RAC,042,10,100,180,120,1050
RDI,A048,CD SARANDI NAVE 1,General,RAC040.10A,Rack,1,1,RAC,040,10,100,180,120,1050
