CLIENTE_CODIGO_VENTA;CLIENTE_DESCRIPCION_VENTA
102000574;PROMEDON SA
102000591;INTEC S.R.L.
102000735;LABORATORIO LKM S.A.
102000936;GEFCO ARGENTINA S.A.
102001194;MUNICIPALIDAD DE CORDOBA
102001447;PODER JUD DE LA PROV DE SALTA (TRIB
102001475;SANOFI-AVENTIS ARGENTINA S.A.
102001547;ADDOC ADMIN.DE DOCUMENTOS S.A.
102001561;LEMPRIERE FOX & LILLIE S.A.
102001660;PETERSEN, T Y C SA - N GUERECHET SA
102001774;FISHER CLINICAL SERVICES LATIN AM.
102002295;FUNDACION HUESPED
102002440;SHIRE HUMAN GENETIC THERAPIES SA
102002611;LAT RESEARCH SRL
102002614;DT LOGISTICA S.A.
102002620;CAJA DE SEGUROS SA
102002675;LANUSSE MAXIMO EDUARDO
102002745;SIETE Y MEDIA SA
102002807;MUTUAL DE EMPLEADOS DE BANCOS (M.E.
102002835;ORBILENT SRL 
102002845;GE HEALTHCARE LIFE SCIENCES ARGENTI
102002926;ESPASA S.A.
102002929;FERRER S.A.
102002963;DROGUERIA 20 DE JUNIO S.A.
102002995;IMPRESORA CHUBUTENSE SA
102003010;NARVAEZ VILLARRUBIA CLAUDIA WUILLMA
102003011;PHARMASUR S.A.
102003040;BBVA CONSOLIDAR SEGUROS SOCIEDAD 
102003087;STYROPEK S.A.
102003165;MANPETROL S.A.
102003170;FEMANI MEDICAL SRL.
102003305;MINISTERIO DE SALUD DE ENTRE RIOS
102003365;CASARETO MARIA DE LOS ANGELES
102003368;INGRAM MICRO ARG S.A
102003386;BRIGHSTAR FUEGUINA SA
102003406;DIRECCION ADMINISTRACION MEHYF
102003435;CONFITTE S.R.L.
102003440;HOSPITAL BRITANICO DE BUENOS AIRES
102003466;PVCRED SOCIEDAD ANONIMA
102003500;INDUSTRIAL AND COMMERCIAL
102003560;ROSARIO AL COSTO S.R.L.
102003632;RELEVAMIENTOS Y AUDITORIAS FISCALES SA
102003716;DANONE ARGENTINA S.A
102003795;FUNDACION ITAU ARGENTINA
102003935;FITO PAEZ S.R.L.
102003970;INSTITUTO NACIONAL CENTRAL UNICO
102003980;GRUPO RADIOCENTRO S.R.L.
102003985;MTV NETWORKS ARGENTINA S.R.L
102004013;CANDY ELECTRODOMESTICOS ARGENTINA SA
102004021;ESFERA S.R.L.
102004030;AFAKOT SA
102004075;PALL TECHNOLOGIES S A
102004086;HOGAR ACTUAL SRL
102004095;CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET
102004145;MONTEBIO S R L
102004195;AGETIN S.R.L.
102004305;AP - BIOTECH S.R.L.
102004370;ASOCIACION COOPERADORA DE LA FACULTAD DE ING.
102004390;MORBELLI LEONARDO ENRIQUE
102004395;ASOCIACION MUTUAL SANCOR SALUD
102004425;PRO - PROPUESTA REPUBLICANA
102004442;GLOBAL SOLUTIONS SRL
102004475;BAGAGGIO S.R.L
102004490;COFARSUR SACIF
102004555;ENDULZARTE DULZURAS PUBLICITARIAS
102004725;AMPLIFY S.A.
103000080;NATEN SRL
103000085;LATINABA LLC
103000110;INMUNOTEK S.L.
101010101;ORG COURIER ARG
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102003031;ERREPAR S.A.
102003190;PICK IT ARGENTINA
102003190;PICK IT ARGENTINA
102004105;PARDO S A
102001447;PODER JUD DE LA PROV DE SALTA (TRIB
102004050;RAIZEN ARGENTINA S.A.U.
102004071;LOG IN FARMA SRL
102004906;REGISTRO NACIONAL DE LAS PERSO
102004945;MAILAMERICAS S.R.L.
777777777;OCIOSIDAD ALMACEN GENERAL
666666666;OCIOSIDAD ALMACEN SALUD
102001184; INC RESEARCH CRO ARGENTINA S.R.L.
102004926;TOYOTA MHM LTDA
102004880;INTRALOG DE ARGENTINA S.A.
102004975;LOGISTICA Y TRANSPORTES ESPECIALES
103000120;N24 INTERNATIONAL S.A.
103000115;LION ECOMMERCE LOGISTICS LIMITED
102004994;ASOCIACION CIVIL FRANCISCANA P
102005018;LAS BLONDAS S.A.
102005020;DEMIBELL S.A.U.
102005019;GOSSIP S.A.U.
102004905;SHIP NOW SRL
102003660;DIREXA S.A.
102000579;EDENRED ARGENTINA S.A.
102003159;MONROE AMERICANA SOCIEDAD ANONIMA
102003276;YURUTI SA
102003610;BLANCO BAHIA S.A.
102003960;PETERSEN, THIELE Y CRUZ S.A.C. Y M.
102002860;SOLUCIONES GRAFICAS S.R.L.
102002927;FINANDINO COMPAÑIA FINANCIERA S.A.
102005040;AGUAS CORDOBESAS S.A.
102005041;COOPERATIVA FEL LTDA FABRICA DE
102005042;IOT CIUDADES INTELIGENTES S.A.S.
102005045;SPEED BUSINESS S.A.
102005046;AFFIDARE S.R.L.
102005048;MUNICIPALIDAD DE LA CALERA
102005049;MUNICIPALIDAD DE ONCATIVO
102005050;MUNICIPALIDAD DE LA CIUDAD DE OLIVA
102005051;MUNICIPALIDAD DE MALAGUEÑO
102005053;MUNICIPALIDAD DE JAMES CRAIK
102005054;MUNICIPALIDAD DE TIO PUJIO
102005055;IQSA S.A.
102005056;MUTUAL ASOCIACION MUTUAL DE TRABAJA
102005057;VALLE FERTIL S.A.
102005058;CAJA DE PREVISION SOCIAL PARA PROFE
102005059;CELLI ALBRISI JUAN FRANCISCO
102005060;ASOCIACIÓN ESPAÑOLA DE SOCORROS MUT
102005061;PLANETA POSTAL SRL
102005062;MONITORA SEGURIDAD INTELIGENTE S.R.
102005066;ASOCIACION CENTRO DE JUBILADOS Y PE
102005080;MUNICIP DE SAN ANTONIO DE ARREDONDO
102005081;MUNICIPALIDAD DE HUERTA GRANDE
102002418;SIND OBRERO CHOFERES CAMIONEROS AYU
102001740;MRO. DE GOBIERNO (REGISTRO CIVIL)
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102002641;TUTEUR SACIFIA
102003210;BIOMAKERS SA
102000885;PAN AMERICAN ENERGY S.L
102004940;IT BROKERS S.A.
102004944;ADIDAS ARGENTINA S.A.
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
900000998;CAMARA DEL LIBRO
102005071;MINISTERIO DE EDUCACION DE LA PROVI DE CÓRDOBA
102005052;MUNICIPALIDAD DE LA FALDA
102005100;NACION SERVICIOS S.A.
102005110;SOLIDAGRO ASOCIACION CIVIL
900000998;CAMARA DEL LIBRO
102005175;FUNDACION ESTEBAN BULLRICH
102002527;ZURICH ARGENTINA COMPAÑIA DE SEGURO
102004910;FUZION S.R.L.
102004970;MOLINOS RIO DE LA PLATA S.A.
102005126;DEPORSUR S.A.
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102003246;ABC SA
102001710;MIN.COORD.DE GAB.CHUBUT
101180118;OC LOGISTICS INDIA PRIVAT LTD.
102002417;DIRECCION GRAL DE TESORERIA Y CREDI
102001674;ARCOR SAIC
102004885;MORE TELEVISION S.A.
900000998;ETERNA CADENCIA S.R.L.
102005127;BARRY EDITORIAL COM E IND SRL
900000998;LA BRUJITA DE PAPEL S.A.
102005166;ASOCIACION ESCUELA CIENTIFICA
900000998;ASOCIACION ISRAELITA ARGENTINA
900000998;EDICIONES COLIHUE S.R.L.
900000998;DONOZO LEANDRO
102005215;PRESTIGE AUTO S.A.U.
900000998;CARPINTERO ENRIQUE LUIS
900000998;BARRIERA CECILIA MELISA
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102001710;MIN.COORD.DE GAB.CHUBUT
102003486;ADEA ADMINISTRADORA DE ARCHIVOS S A
102004125;SILMAG SOCIEDAD ANONIMA
102003486;ADEA ADMINISTRADORA DE ARCHIVOS S A
102003486;ADEA ADMINISTRADORA DE ARCHIVOS S A
102002299;RIG ARGENTINA S. A.
102004150;23PEERS S.A.
102005016;ID GROUP S.A.
102005065;LAURA LIFCHIZ
102005070;CEPROCOR
102005111;ANTONIO LUQUIN S A C I F E I
900000998;"COOPERATIVA DE TRABAJO GRAFICA ""VISION 7"" LIMITADA"
900000998;ASOCIACION COLEGIO ADVENTISTA DEL PLATA
900000998;BONILLA RODAS ALBERTO
900000998;COOPERATIVA DE TRABAJO COMUNIDAD LIMITADA
900000998;LEVIN LEONARDO ADRIAN
900000998;MIÃ‘O Y DAVILA S.R.L.
102005255;ALBARRACIN ALEJANDRO DIEGO
102000419;CLUB ATLETICO RIVER PLATE A.C.
102005266;RENAULT S.A.
103000125;HANGZHOU FAR INTERNATIONAL LOGISTIC CO.
102000420;FRAVEGA S.A.C.I. E I.
900000998;NUEVA LIBRERIA S R L
900000998;LEVIN LEONARDO A ALBALA VICTOR N SH
900000998;EDICIONES JOURNAL S.A.
102005147;POLICIA DE LA PROVINCIA DE CORDOBA
102002844;KLINICAL S.A.
102005271;EDITORIAL PERFIL S.A.
102005168;COOPERATIVA DE TRABAJO MUCHAS NUECES LTD
