SUCURSAL;ACTIVIDAD;MTS2;FTE;TIENE MTS2;TIENE FTE;ESTADO / INCONSISTENCIA
CO2;PROGRAMACION DI;;0,75;NO;SI;FTE sin MTS0
CO2;INGENIERIA DE SOFTWARE;;1;NO;SI;FTE sin MTS1
CO2;TRONCAL AEREO DI;;0,4;NO;SI;FTE sin MTS1
CO2;ADMINISTRACION OP AS;;0,25;NO;SI;FTE sin MTS2
CO2;ESTRATEGIA TRANSPORTE;;1;NO;SI;FTE sin MTS2
CO2;ALMACENAMIENTO AG;55868;;SI;NO;MTS2 sin FTE
CO2;CLASIFICACION SP;8800;;SI;NO;MTS2 sin FTE
CO2;INPLANT RECURSOS HUMANOS;280;;SI;NO;MTS2 sin FTE
CO2;FLOTA PROPIA CAMIONETA;;7;NO;SI;OK - Sin mts2
CO2;ADMINISTRACION OP AG;66;0,45;SI;SI;OK - Tiene MTS2 y FTE
CO2;ADMINISTRACION OP DI;1960,8;7,05;SI;SI;OK - Tiene MTS2 y FTE
CO2;ADMINISTRACION OP SP;274;0,25;SI;SI;OK - Tiene MTS2 y FTE
CO2;ADMISION DI;316;8,85;SI;SI;OK - Tiene MTS2 y FTE
CO2;CLASIFICACION DI;52956;13,4;SI;SI;OK - Tiene MTS2 y FTE
CO2;DISTRIBUCION DI;185828;22,24;SI;SI;OK - Tiene MTS2 y FTE
CO2;IMPOSICION DI;136;2,8;SI;SI;OK - Tiene MTS2 y FTE
CO2;INPLANT INF Y TECNOLOG;70;1;SI;SI;OK - Tiene MTS2 y FTE
CO2;MANTENIMIENTO;128;1;SI;SI;OK - Tiene MTS2 y FTE
CO2;RENDICION DI;1431,2;4,45;SI;SI;OK - Tiene MTS2 y FTE
CO2;TRONCAL TERRESTRE DI;2852;2,35;SI;SI;OK - Tiene MTS2 y FTE
COP;ASUNTOS INSTITUCIONALES;;3;NO;SI;FTE sin MTS2
COP;COMPRAS;;1;NO;SI;FTE sin MTS2
COP;CONTABILIDAD E IMPUESTOS;;1;NO;SI;FTE sin MTS2
COP;FACTURACION Y CTAS A PAGAR;;1;NO;SI;FTE sin MTS2
COP;INPLANT RECURSOS HUMANOS;;2;NO;SI;FTE sin MTS2
COP;OPERACIONES POSTAL SDI;;49,13;NO;SI;FTE sin MTS2
COP;ADMINISTRACION OP AS;288;;SI;NO;MTS2 sin FTE
COP;ADMINISTRACION OP SP;2610;;SI;NO;MTS2 sin FTE
COP;CLASIFICACION SP;1596;;SI;NO;MTS2 sin FTE
COP;COMERCIAL;200,2;;SI;NO;MTS2 sin FTE
COP;DISTRIBUCION DI;1841,2;;SI;NO;MTS2 sin FTE
COP;DISTRIBUCION SP;9206;;SI;NO;MTS2 sin FTE
COP;GUARDA SP;263,2;;SI;NO;MTS2 sin FTE
COP;INGRESOS SP;4191,6;;SI;NO;MTS2 sin FTE
COP;RENDICION SP;1316;;SI;NO;MTS2 sin FTE
COP;RRHH;189;;SI;NO;MTS2 sin FTE
COP;SEGURIDAD PATRIMONIAL;245;;SI;NO;MTS2 sin FTE
COP;SISTEMAS;120,4;;SI;NO;MTS2 sin FTE
COP;DISTRIBUIDORES DOMICILIARIOS SDI;1841,2;100,58;SI;SI;OK - Tiene MTS2 y FTE
COR;ADMINISTRACION OP AG;;2,1;NO;SI;FTE sin MTS2
COR;ADMINISTRACION OP AS;;2;NO;SI;FTE sin MTS2
COR;ADMISION DI;;1,1;NO;SI;FTE sin MTS2
COR;ARMADO SP;;0,2;NO;SI;FTE sin MTS2
COR;ASUNTOS INSTITUCIONALES;;2;NO;SI;FTE sin MTS2
COR;CALIDAD Y DIR TECNICA GLOBAL;;1;NO;SI;FTE sin MTS2
COR;COMERCIALES;;2;NO;SI;FTE sin MTS2
COR;DISTRIBUIDORES DOMICILIARIOS SDI;;18;NO;SI;FTE sin MTS2
COR;ESTRATEGIA TRANSPORTE;;1;NO;SI;FTE sin MTS2
COR;INGENIERIA DE SOFTWARE;;3;NO;SI;FTE sin MTS2
COR;INPLANT RECURSOS HUMANOS;;2;NO;SI;FTE sin MTS2
COR;MAILROOM SE;;5;NO;SI;FTE sin MTS2
COR;OPERACIONES POSTAL SDI;;3;NO;SI;FTE sin MTS2
COR;PROGRAMACION SP;;1,25;NO;SI;FTE sin MTS2
COR;RECEPCION SP;;0,1;NO;SI;FTE sin MTS2
COR;RENDICION DI;;0,2;NO;SI;FTE sin MTS2
COR;SEGURIDAD E HIGIENE;;1;NO;SI;FTE sin MTS2
COR;DISTRIBUCION SP;200;;SI;NO;MTS2 sin FTE
